madde,anlam,lisan,telaffuz
ağır basmak,taşıdığı özellikler üstün gelmek | bir işte gücü ve etkisi üstün gelmek,,
ağır bir yükten kurtulmak,"sorumluluğu zor olan bir durumu atlatarak rahatlamak, hafiflemek",,
ağır çekmek,tartıda ağır gelmek,,
ağır durmak,"ciddi, ağırbaşlı, oturaklı, soğukkanlı hareket etmek",,
ağır gelmek,"gücüne gitmek, onuruna dokunmak | yapılması güç gelmek",,
ağır kaçmak,"gücendirici olmak, uygun düşmemek | beklenenden fazla olmak",,
ağır kayba uğramak,maddi ve manevi büyük zarar görmek,,
ağır oturmak,ağırbaşlı olmak,,
ağır söylemek,"acı, dokunaklı sözler söylemek",,
ağır yaralanmak,bedene derin ve ciddi yara almak,,
ağır yara almak,kavgada veya savaşta önemli ölçüde zarar görmek | bir olayda beklenmeyen sıkıntılı ve olumsuz bir duruma düşmek,,
ağızda dağılmak,"genellikle hamur işi, iyi pişmiş ve lezzetli olmak",,
ağızda sakız gibi çiğnemek,bir söz veya düşünceyi sık sık tekrarlayıp durmak,,
ağız açtırmamak,"çok konuşarak başkalarının söz söylemesine, konuşmasına engel olmak",,
ağız bağı yapmak,ağız bağı oluşturulduktan sonra kancaya bağlı herhangi bir halatın kayıp çıkmasını engellemek,,
ağız birliği etmek,bir konuda anlaşarak aynı biçimde konuşmak,,
ağız burun birbirine karışmak,"dayak sonucunda yüz yara bere içinde kalmak | yüzde aşırı öfke, üzüntü, yorgunluk vb. durumların izleri görünmek",,
ağız dalaşı etmek,birbirine karşı ağır sözler söyleyerek kavga etmek,,
ağız değiştirmek,önce söylediğini başka türlü anlatmak,,
ağız dil vermemek,"konuşmamak, susmak",,
ağız eğmemek,birine minnet etmemek,,
ağız etmek,yaranmak için kibar konuşmaya çalışmak,,
ağız kalabalığına getirmek,birini gereksiz sözlerle şaşırtmak | ilgisiz sözler söyleyerek asıl konudan uzaklaştırmak,,
ağız kullanmak,"duruma, ortama göre söz söylemek",,
ağız satmak,yüksekten atarak kendini övmek,,
ağız tamburası çalmak,"sözle avutmaya, oyalamaya çalışmak | soğuktan dişleri birbirine çarpmak, çenesi titremek",,
ağız yapmak,"birini kandırmak, yanıltmak amacıyla duygularını, düşüncelerini olduğundan başka türlü gösterecek bir biçimde konuşmak",,
ağız yaymak,açık ve dürüst konuşmaktan kaçınmak,,
ağız (veya ağzını) açmak,"konuşmaya başlamak | kesici aletleri keskin duruma getirmek | ağır sözler söylemeye başlamak | azarlamak, paylamak",,
ağız (veya ağzını) büzmek,dudak büzmek,,
ağlamaklı olmak,"neredeyse ağlayacak duruma gelmek, ağlamalı olmak",,
ağlamalı olmak,ağlamaklı olmak,,
ağlama duvarına dönmek,"herkesin şikâyetini, derdini dinler duruma gelmek",,
ağlayıp sızlamak,çok ağlamak,,
ağrısız başına kaşbastı bağlamak,"""kendine gereksiz yere iş çıkarmak"" anlamında kullanılan bir söz",,
ağrısı tutmak,gebe kadının doğum sancıları başlamak | hasta bir organ ağrımaya başlamak,,
ağza almamak,"anmamak, sözünü etmemek",,
ağza (veya ağızlara) düşmek,dedikodu konusu olmak,,
ağzına almak,"yemek, içmek | söylemek",,
ağzına almamak,"sözünü etmemek, adını anmamak",,
ağzına atmak,yemek için ağzına koymak,,
ağzına bakakalmak,sözlerine hayran olmak,,
ağzına baktırmak,kendini zevkle dinletmek,,
ağzına bir kemik atmak,birini küçük bir çıkarla susturmak,,
ağzına bir lokma koymamak,hiçbir şey yememek,,
ağzına bir parmak bal çalmak,"birini tatlı sözlerle veya çeşitli hediyelerle bir süre için kandırmak, oyalamak",,
ağzına burnuna bulaştırmak,"bir işi beceremeyip berbat etmek, bozmak",,
ağzına düşmek,dile düşmek,,
ağzına etmek,haddini bildirmek,,
ağzına geleni söylemek,"nezaket dışına çıkarak ağır ve kırıcı sözler söylemek | gelişigüzel, saçma sapan konuşmak",,
ağzına gem vurmak,"susturmak, söyletmemek",,
ağzına kira istemek,söylemesi beklenen şeyi söylemekte nazlı davranmak,,
ağzına sakız olmak,dedikodusuna konu olmak,,
ağzına sıçmak,"birisini çok kötü duruma sokmak | bir şeyi, bir işi işe yaramaz duruma getirmek, bozmak",,
ağzına sürmemek,herhangi bir yiyeceği veya içeceği hiç yememek veya içmemek,,
ağzına takılmak,bir sözü konuşması sırasında bilinçsiz bir biçimde sürekli söylemek,,
ağzına taş almak,söze karışmayıp susmak,,
ağzına tıkmak,"susturmak, konuşmasına engel olmak",,
ağzına tükürmek,hakaret ederek uyarmak,,
ağzına volta almak,bir palanganın işlemesine engel olmak için palanganın ucundan çıkan halatı geçici olarak makaranın arasından geçirip sıkıştırmak [denizcilik],,
ağzına yakışmamak,"söylemesi ayıp kaçmak, uygun düşmemek, yakışık almamak",,
ağzına yüzüne bulaştırmak,"bir işi kötü yapmak, becerememek",,
ağzına ... koymamak,bir şey yememek veya içmemek,,
ağzından baklayı çıkarmak,baklayı ağzından çıkarmak,,
ağzından burnundan getirmek,"huzurunu bozmak, sıkıntıya sokmak | pişman etmek için uğraşmak",,
ağzından çıkmak,"bir sözü istemeden, farkına varmadan söylemek, söylemiş bulunmak",,
ağzından çıt çıkmamak,hiçbir şey söylememek,,
ağzından dökülmek,"açıkça söylemekten çekindiği şey, konuşmasından belli olmak",,
ağzından girip burnundan çıkmak,"türlü yollara başvurarak birini bir şeye razı etmek, kandırmak | iyice dövmek",,
ağzından inci saçmak,birbirinden güzel sözler söylemek,,
ağzından kaçırmak,istemediği hâlde boş bulunup söyleyivermek,,
ağzından kapmak,"birinin bildiği şeyleri, ustalıklı konuşmalarla ona sezdirmeden öğrenmek | birinin konuşmasını keserek kendisi söze başlamak",,
ağzından lokmasını almak,birinin hakkı olan şeyi ondan almak,,
ağzından söz (veya laf veya lakırtı) eksik etmemek,o sözü sürekli söylemek,,
ağzından (söz veya lakırtı) dirhemle çıkmak,çok az veya zorla konuşmak,,
